entryNumber, fileId, fileName, subject, dish, startTimeSeconds, endTimeSeconds, startFrame, endFrame, activity, tool, toolProperties, ingredients, ingredientsProperties, containers, containersProperties, containersSource, containersDestination, className
32, 2, s08-d02-cam-002, 8, 2, 176.904, 178.673, 5200, 5252, addV, hand,,tomato,diced ,cutting-board,,cutting-board,bowl,addVhandtomatocutting boardbowl
33, 2, s08-d02-cam-002, 8, 2, 178.945, 180.476, 5260, 5305, addV, hand,,tomato,diced ,cutting-board,,cutting-board,bowl,addVhandknifetomatocutting boardbowl
34, 2, s08-d02-cam-002, 8, 2, 180.913, 186.054, 5318, 5469, cut out insideV, knife,,tomato,half ,,,,,cut out insideVknifetomato
35, 2, s08-d02-cam-002, 8, 2, 186.326, 192.21, 5477, 5650, sliceV, knife,,tomato,half ,cutting-board,,cutting-board,,sliceVknifetomatocutting board
36, 2, s08-d02-cam-002, 8, 2, 195.034, 199.471, 5733, 5864, cut diceV, knife,,tomato,sliced ,cutting-board,,cutting-board,,cut diceVknifetomatocutting board
37, 2, s08-d02-cam-002, 8, 2, 200.17, 202.074, 5884, 5940, addV, hand,,tomato,diced ,cutting-board,,cutting-board,bowl,addVhandtomatocutting boardbowl
38, 2, s08-d02-cam-002, 8, 2, 205.502, 207.231, 6041, 6092, addV, hand,,tomato,diced ,cutting-board,,cutting-board,bowl,addVhandtomatocutting boardbowl
39, 2, s08-d02-cam-002, 8, 2, 208.907, 214.047, 6141, 6292, washV, hand,,tomato,,,,,,washVhandtomato
40, 2, s08-d02-cam-002, 8, 2, 214.047, 215.136, 6292, 6324, shakeV, hand,,tomato,,,,,,shakeVhandtomato
41, 2, s08-d02-cam-002, 8, 2, 215.95, 218.197, 6348, 6414, cut apartV, knife,,tomato,,cutting-board,,cutting-board,,cut apartVknifetomatocutting board
42, 2, s08-d02-cam-002, 8, 2, 219.391, 225.544, 6450, 6630, sliceV, knife,,tomato,half ,cutting-board,,cutting-board,,sliceVknifetomatocutting board
43, 2, s08-d02-cam-002, 8, 2, 225.777, 230.888, 6637, 6788, cut diceV, knife,,tomato,sliced ,cutting-board,,cutting-board,,cut diceVknifetomatocutting board
44, 2, s08-d02-cam-002, 8, 2, 231.028, 232.847, 6792, 6845, addV, hand,,tomato,diced ,cutting-board,,cutting-board,bowl,addVhandtomatocutting boardbowl
45, 2, s08-d02-cam-002, 8, 2, 233.748, 236.768, 6872, 6960, cut out insideV, knife,,tomato,half ,cutting-board,,cutting-board,,cut out insideVknifetomatocutting board
46, 2, s08-d02-cam-002, 8, 2, 237.098, 241.692, 6970, 7105, sliceV, knife,,tomato,half ,cutting-board,,cutting-board,,sliceVknifetomatocutting board
47, 2, s08-d02-cam-002, 8, 2, 242.074, 245.097, 7116, 7205, cut diceV, knife,,tomato,sliced ,cutting-board,,cutting-board,,cut diceVknifetomatocutting board
48, 2, s08-d02-cam-002, 8, 2, 245.115, 247.366, 7206, 7272, addV, hand,,tomato,diced ,cutting-board,,cutting-board,bowl,addVhandtomatocutting boardbowl
49, 2, s08-d02-cam-002, 8, 2, 248.435, 250.85, 7303, 7374, washV, hand,,hand,,,,,,washVhandhand
50, 2, s08-d02-cam-002, 8, 2, 251.402, 252.448, 7391, 7421, moveV, hand,,towel,,hook,,hook,,moveVhandtowelhook
51, 2, s08-d02-cam-002, 8, 2, 252.448, 254.897, 7421, 7493, dryV, towel,,hand,,,,,,dryVtowelhand
52, 2, s08-d02-cam-002, 8, 2, 255, 256.661, 7497, 7545, take outV, hand,,spice-shaker,spice ,spice-holder,,spice-holder,,take outVhandspice shakerspice holder
53, 2, s08-d02-cam-002, 8, 2, 256.833, 258.445, 7550, 7598, screw openV, hand,,spice-shaker,salt ,,,,,screw openVhandspice shaker
54, 2, s08-d02-cam-002, 8, 2, 258.579, 258.995, 7602, 7614, smellV, hand,,salt,,spice-shaker,,spice-shaker,,smellVhandsaltspice shaker
55, 2, s08-d02-cam-002, 8, 2, 259.035, 264.405, 7615, 7773, spiceV, spice-shaker,,salt,,bowl,salad,bowl,,spiceVspice shakersaltbowl
56, 2, s08-d02-cam-002, 8, 2, 264.547, 265.331, 7777, 7800, screw closeV, hand,,spice-shaker,salt ,,,,,screw closeVhandspice shaker
57, 2, s08-d02-cam-002, 8, 2, 266.054, 267.458, 7821, 7863, screw openV, hand,,spice-shaker,pepper ,,,,,screw openVhandspice shaker
58, 2, s08-d02-cam-002, 8, 2, 267.479, 267.919, 7863, 7876, smellV, hand,,pepper,,spice-shaker,,spice-shaker,,smellVhandpepperspice shaker
59, 2, s08-d02-cam-002, 8, 2, 267.959, 272.458, 7877, 8010, spiceV, spice-shaker,,pepper,,bowl,salad,bowl,,spiceVspice shakerpepperbowl
60, 2, s08-d02-cam-002, 8, 2, 272.458, 273.984, 8010, 8055, screw closeV, hand,,spice-shaker,pepper ,,,,,screw closeVhandspice shaker
61, 2, s08-d02-cam-002, 8, 2, 273.984, 276.496, 8055, 8128, put inV, hand,,spice-shaker,,counter,,counter,spice-holder,put inVhandspice shakercounterspice holder
62, 2, s08-d02-cam-002, 8, 2, 277.932, 280.704, 8171, 8252, take outV, hand,,bottle,oil ,cupboard,,cupboard,,take outVhandbottlecupboard
63, 2, s08-d02-cam-002, 8, 2, 281.123, 283.051, 8265, 8321, screw openV, hand,,bottle,oil ,,,,,screw openVhandbottle
64, 2, s08-d02-cam-002, 8, 2, 283.051, 288.288, 8321, 8475, pourV, bottle,oil ,oil,,bowl,salad,bowl,,pourVbottleoilbowl
65, 2, s08-d02-cam-002, 8, 2, 288.639, 290.88, 8485, 8551, screw closeV, hand,,bottle,oil ,,,,,screw closeVhandbottle
66, 2, s08-d02-cam-002, 8, 2, 290.88, 293.231, 8551, 8620, put inV, hand,,bottle,oil ,,,,cupboard,put inVhandbottlecupboard
67, 2, s08-d02-cam-002, 8, 2, 294.775, 299.1, 8666, 8793, take outV, hand,,fork,,drawer,,drawer,,take outVhandforkdrawer
68, 2, s08-d02-cam-002, 8, 2, 299.491, 318.302, 8805, 9358, mixV, fork,,salad,,bowl,,bowl,,mixVforksaladbowl
69, 2, s08-d02-cam-002, 8, 2, 319.396, 320.243, 9390, 9415, take outV, hand,,spice-shaker,salt ,spice-holder,,spice-holder,,take outVhandspice shakerspice holder
70, 2, s08-d02-cam-002, 8, 2, 320.321, 322.054, 9417, 9468, screw openV, hand,,spice-shaker,salt ,,,,,screw openVhandspice shaker
71, 2, s08-d02-cam-002, 8, 2, 322.054, 324.92, 9468, 9552, spiceV, spice-shaker,,salt,,bowl,salad,bowl,,spiceVspice shakersaltbowl
72, 2, s08-d02-cam-002, 8, 2, 324.92, 326.574, 9552, 9601, screw closeV, hand,,spice-shaker,salt ,,,,,screw closeVhandspice shaker
73, 2, s08-d02-cam-002, 8, 2, 326.574, 327.838, 9601, 9638, put inV, hand,,spice-shaker,salt ,,,,spice-holder,put inVhandspice shakerspice holder
74, 2, s08-d02-cam-002, 8, 2, 328.489, 334.964, 9657, 9847, mixV, fork,,salad,,bowl,,bowl,,mixVforksaladbowl
75, 2, s08-d02-cam-002, 8, 2, 336.088, 337.721, 9880, 9928, moveV, hand,,bowl,salad ,counter,,counter,counter,moveVhandbowlcountercounter
76, 3, s08-d04-cam-002, 8, 4, 2.074, 5.034, 60, 147, enterV, ,,,,,,,,enterV
77, 3, s08-d04-cam-002, 8, 4, 4.532, 12.585, 133, 369, take outV, hand,,potato,,cupboard,,cupboard,counter,take outVhandpotatocupboardcounter
78, 3, s08-d04-cam-002, 8, 4, 12.585, 17.38, 369, 510, take outV, hand,,front-peeler,,drawer,,drawer,,take outVhandfront peelerdrawer
79, 3, s08-d04-cam-002, 8, 4, 19.285, 60.612, 566, 1781, peelV, front-peeler,,potato,,,,,,peelVfront peelerpotato
80, 3, s08-d04-cam-002, 8, 4, 60.865, 91.53, 1789, 2690, peelV, front-peeler,,potato,,,,,,peelVfront peelerpotato
81, 3, s08-d04-cam-002, 8, 4, 92.414, 96.666, 2716, 2841, gatherV, hand,,peel,potato ,counter,,counter,,gatherVhandpeelcounter
82, 3, s08-d04-cam-002, 8, 4, 96.87, 101.36, 2847, 2979, gatherV, hand,,peel,potato ,counter,,counter,,gatherVhandpeelcounter
83, 3, s08-d04-cam-002, 8, 4, 101.36, 108.435, 2979, 3187, throw in garbageV, hand,,peel,potato ,,,,,throw in garbageVhandpeel
84, 3, s08-d04-cam-002, 8, 4, 108.832, 113.503, 3199, 3336, take outV, hand,,knife,,drawer,,drawer,,take outVhandknifedrawer
85, 3, s08-d04-cam-002, 8, 4, 114.274, 115.714, 3359, 3401, put inV, hand,,knife,,,,,drawer,put inVhandknifedrawer
86, 3, s08-d04-cam-002, 8, 4, 115.714, 117.21, 3401, 3445, take outV, hand,,side-peeler,,drawer,,drawer,,take outVhandside peelerdrawer
87, 3, s08-d04-cam-002, 8, 4, 118.469, 122.108, 3482, 3589, cut out insideV, side-peeler,,potato,peeled ,,,,,cut out insideVside peelerpotato
88, 3, s08-d04-cam-002, 8, 4, 122.108, 123.435, 3589, 3628, pull apartV, hand,,potato,peeled ,,,,,pull apartVhandpotato
89, 3, s08-d04-cam-002, 8, 4, 123.639, 126.122, 3634, 3707, peelV, side-peeler,,potato,peeled ,,,,,peelVside peelerpotato
90, 3, s08-d04-cam-002, 8, 4, 128.129, 130.884, 3766, 3847, throw in garbageV, hand,,garbage,,,,,,throw in garbageVhandgarbage
91, 3, s08-d04-cam-002, 8, 4, 131.326, 135.918, 3860, 3995, washV, hand,,hand,,,,,,washVhandhand
92, 3, s08-d04-cam-002, 8, 4, 136.088, 144.115, 4000, 4236, washV, hand,,potato,peeled ,,,,,washVhandpotato
93, 3, s08-d04-cam-002, 8, 4, 144.115, 147.074, 4236, 4323, shakeV, hand,,potato,peeled ,,,,,shakeVhandpotato
94, 3, s08-d04-cam-002, 8, 4, 147.312, 150, 4330, 4410, open closeV, hand,,,,drawer,,drawer,,open closeVhanddrawer
95, 3, s08-d04-cam-002, 8, 4, 151.258, 153.537, 4446, 4513, take outV, hand,,bowl,,drawer,,drawer,counter,take outVhandbowldrawercounter
96, 3, s08-d04-cam-002, 8, 4, 153.843, 155.17, 4522, 4561, closeV, hand,,,,drawer,,drawer,,closeVhanddrawer
97, 3, s08-d04-cam-002, 8, 4, 155.389, 157.925, 4568, 4642, take outV, hand,,box-grater,,drawer,,drawer,,take outVhandbox graterdrawer
98, 3, s08-d04-cam-002, 8, 4, 159.761, 202.959, 4696, 5966, grateV, box-grater,,potato,peeled ,bowl,,bowl,,grateVbox graterpotatobowl
99, 3, s08-d04-cam-002, 8, 4, 203.979, 232.619, 5996, 6838, grateV, box-grater,,potato,peeled ,bowl,,bowl,,grateVbox graterpotatobowl
100, 3, s08-d04-cam-002, 8, 4, 235.374, 237.755, 6919, 6989, washV, hand,,hand,,,,,,washVhandhand
101, 3, s08-d04-cam-002, 8, 4, 237.755, 238.707, 6989, 7017, shakeV, hand,,hand,,,,,,shakeVhandhand
102, 3, s08-d04-cam-002, 8, 4, 239.489, 241.16, 7040, 7090, dryV, towel,,hand,,,,,,dryVtowelhand
103, 3, s08-d04-cam-002, 8, 4, 241.232, 250.204, 7092, 7355, take outV, hand,,zucchini,,fridge,,fridge,counter,take outVhandzucchinifridgecounter
104, 3, s08-d04-cam-002, 8, 4, 250.442, 256.496, 7362, 7540, take outV, hand,,egg,,fridge,,fridge,,take outVhandeggfridge
105, 3, s08-d04-cam-002, 8, 4, 259.251, 277.346, 7621, 8153, peelV, front-peeler,,zucchini,,,,,,peelVfront peelerzucchini
106, 3, s08-d04-cam-002, 8, 4, 278.809, 302.789, 8196, 8901, peelV, front-peeler,,zucchini,,,,,,peelVfront peelerzucchini
107, 3, s08-d04-cam-002, 8, 4, 304.387, 307.551, 8948, 9041, washV, hand,,zucchini,peeled ,,,,,washVhandzucchini
108, 3, s08-d04-cam-002, 8, 4, 307.687, 310.68, 9045, 9133, shakeV, hand,,zucchini,peeled ,,,,,shakeVhandzucchini
109, 3, s08-d04-cam-002, 8, 4, 310.68, 313.247, 9133, 9209, take outV, hand,,knife,,drawer,,drawer,,take outVhandknifedrawer
110, 3, s08-d04-cam-002, 8, 4, 314.557, 316.7, 9247, 9310, cut off endsV, knife,,zucchini,peeled ,,,,,cut off endsVknifezucchini
111, 3, s08-d04-cam-002, 8, 4, 317.789, 319.149, 9342, 9382, shakeV, hand,,zucchini,peeled ,,,,,shakeVhandzucchini
112, 3, s08-d04-cam-002, 8, 4, 319.761, 348.163, 9400, 10235, grateV, box-grater,,zucchini,peeled ,bowl,potatograted,bowl,,grateVbox graterzucchinibowl
113, 3, s08-d04-cam-002, 8, 4, 351.054, 360.408, 10320, 10595, grateV, box-grater,,zucchini,peeled ,bowl,potatograted,bowl,,grateVbox graterzucchinibowl
114, 3, s08-d04-cam-002, 8, 4, 362.006, 365.704, 10642, 10751, grateV, box-grater,,zucchini,peeled ,bowl,potatograted,bowl,,grateVbox graterzucchinibowl
115, 3, s08-d04-cam-002, 8, 4, 370.442, 371.7, 10890, 10927, washV, hand,,hand,,,,,,washVhandhand
116, 3, s08-d04-cam-002, 8, 4, 371.7, 374.115, 10927, 10998, shakeV, hand,,hand,,,,,,shakeVhandhand
117, 3, s08-d04-cam-002, 8, 4, 375.034, 380.884, 11025, 11197, scratch offV, hand,,zucchini,grated ,box-grater,,box-grater,bowl,scratch offVhandzucchinibox graterbowl
118, 3, s08-d04-cam-002, 8, 4, 381.054, 382.721, 11202, 11251, moveV, hand,,box-grater,,,,,sink,moveVhandbox gratersink
119, 3, s08-d04-cam-002, 8, 4, 382.721, 385, 11251, 11319, washV, hand,,hand,,,,,,washVhandhand
120, 3, s08-d04-cam-002, 8, 4, 385, 386.836, 11319, 11372, shakeV, hand,,hand,,,,,,shakeVhandhand
121, 3, s08-d04-cam-002, 8, 4, 388.945, 393.809, 11434, 11577, open eggV, hand,,egg,,bowl,,bowl,,open eggVhandeggbowl
122, 3, s08-d04-cam-002, 8, 4, 396.972, 401.19, 11670, 11794, throw in garbageV, hand,,eggshell,,,,,,throw in garbageVhandeggshellpeel
123, 3, s08-d04-cam-002, 8, 4, 408.367, 411.206, 12005, 12089, throw in garbageV, hand,,peel,zucchini ,,,,,throw in garbageVhandpeeltop
124, 3, s08-d04-cam-002, 8, 4, 411.358, 414.455, 12093, 12184, washV, hand,,hand,,,,,,washVhandhand
125, 3, s08-d04-cam-002, 8, 4, 414.421, 415.646, 12183, 12219, shakeV, hand,,hand,,,,,,shakeVhandhand
126, 3, s08-d04-cam-002, 8, 4, 415.646, 416.734, 12219, 12251, moveV, hand,,towel,,hook,,hook,,moveVhandtowelhook
127, 3, s08-d04-cam-002, 8, 4, 416.734, 418.843, 12251, 12313, dryV, towel,,hand,,,,,,dryVtowelhand
128, 3, s08-d04-cam-002, 8, 4, 420.272, 426.472, 12355, 12538, take outV, hand,,spatula,,drawer,,drawer,,take outVhandspatuladrawer
129, 3, s08-d04-cam-002, 8, 4, 426.562, 438.911, 12540, 12903, stirV, spatula,,potato,grated ,bowl,,bowl,,stirVspatulapotatozucchinieggbowl
130, 3, s08-d04-cam-002, 8, 4, 440.442, 441.598, 12948, 12982, take outV, hand,,spice-shaker,salt ,spice-holder,,spice-holder,counter,take outVhandspice shakerspice holdercounter
131, 3, s08-d04-cam-002, 8, 4, 441.802, 442.857, 12988, 13019, take outV, hand,,spice-shaker,,spice-holder,,spice-holder,,take outVhandspice shakerspice holder
132, 3, s08-d04-cam-002, 8, 4, 442.857, 444.319, 13019, 13062, readV, hand,,spice-shaker,,,,,,readVhandspice shaker
133, 3, s08-d04-cam-002, 8, 4, 444.319, 445.138, 13062, 13087, screw openV, hand,,spice-shaker,,,,,,screw openVhandspice shaker
134, 3, s08-d04-cam-002, 8, 4, 445.298, 446.054, 13091, 13113, smellV, hand,,spice,,spice-shaker,,spice-shaker,,smellVhandspicespice shaker
135, 3, s08-d04-cam-002, 8, 4, 446.25, 447.312, 13119, 13150, screw closeV, hand,,spice-shaker,,,,,,screw closeVhandspice shaker
136, 3, s08-d04-cam-002, 8, 4, 447.551, 455.782, 13157, 13399, readV, hand,,spice-shaker,,spice-holder,,spice-holder,,readVhandspice shakerspice holder
137, 3, s08-d04-cam-002, 8, 4, 455.782, 457.272, 13399, 13443, take outV, hand,,spice-shaker,,spice-holder,,spice-holder,,take outVhandspice shakerspice holder
138, 3, s08-d04-cam-002, 8, 4, 457.272, 457.448, 13443, 13448, take outV, hand,,spice-shaker,,spice-holder,,spice-holder,,take outVhandspice shakerspice holder
139, 3, s08-d04-cam-002, 8, 4, 457.568, 458.707, 13452, 13485, screw openV, hand,,spice-shaker,,,,,,screw openVhandspice shaker
140, 3, s08-d04-cam-002, 8, 4, 458.787, 459.783, 13488, 13517, smellV, hand,,spice,,spice-shaker,,spice-shaker,,smellVhandspicespice shaker
141, 3, s08-d04-cam-002, 8, 4, 459.784, 461.79, 13517, 13576, screw closeV, hand,,spice-shaker,,,,,,screw closeVhandspice shaker
142, 3, s08-d04-cam-002, 8, 4, 461.91, 462.573, 13580, 13599, put inV, hand,,spice-shaker,,,,,spice-holder,put inVhandspice shakerspice holder
143, 3, s08-d04-cam-002, 8, 4, 462.693, 465.56, 13603, 13687, take outV, hand,,spice-shaker,,spice-holder,,spice-holder,counter,take outVhandspice shakerspice holdercounter
144, 3, s08-d04-cam-002, 8, 4, 465.714, 466.41, 13691, 13712, screw openV, hand,,spice-shaker,,,,,,screw openVhandspice shaker
145, 3, s08-d04-cam-002, 8, 4, 466.666, 470.424, 13719, 13830, spiceV, spice-shaker,,pepper,,bowl,food,bowl,,spiceVspice shakerpepperbowl
146, 3, s08-d04-cam-002, 8, 4, 470.504, 471.234, 13832, 13854, smellV, hand,,spice,,spice-shaker,,spice-shaker,,smellVhandspicespice shaker
147, 3, s08-d04-cam-002, 8, 4, 471.314, 472.653, 13856, 13895, spiceV, spice-shaker,,pepper,,bowl,food,bowl,,spiceVspice shakerpepperbowl
148, 3, s08-d04-cam-002, 8, 4, 473.299, 476.632, 13914, 14012, screw closeV, hand,,spice-shaker,,,,,,screw closeVhandspice shaker
149, 3, s08-d04-cam-002, 8, 4, 477.459, 478.211, 14037, 14059, screw openV, hand,,spice-shaker,salt ,,,,,screw openVhandspice shaker
150, 3, s08-d04-cam-002, 8, 4, 478.401, 482.703, 14064, 14191, spiceV, spice-shaker,,salt,,bowl,food,bowl,,spiceVspice shakersaltbowl
151, 3, s08-d04-cam-002, 8, 4, 482.783, 484.001, 14193, 14229, screw closeV, hand,,spice-shaker,salt ,,,,,screw closeVhandspice shaker
152, 3, s08-d04-cam-002, 8, 4, 484.727, 485.748, 14250, 14280, screw openV, hand,,spice-shaker,,,,,,screw openVhandspice shaker
153, 3, s08-d04-cam-002, 8, 4, 485.98, 489.081, 14287, 14378, spiceV, spice-shaker,,spice,,bowl,food,bowl,,spiceVspice shakerspicebowl
154, 3, s08-d04-cam-002, 8, 4, 489.241, 490.748, 14383, 14427, screw closeV, hand,,spice-shaker,,,,,,screw closeVhandspice shaker
155, 3, s08-d04-cam-002, 8, 4, 491.042, 494.829, 14436, 14547, put inV, hand,,spice-shaker,,counter,,counter,spice-holder,put inVhandspice shakercounterspice holder
156, 3, s08-d04-cam-002, 8, 4, 495.952, 510.816, 14580, 15017, stirV, spatula,,food,,bowl,,bowl,,stirVspatulafoodbowl
157, 3, s08-d04-cam-002, 8, 4, 512.959, 526.598, 15080, 15481, take outV, hand,,onion,,cupboard,,cupboard,,take outVhandonioncupboard
158, 3, s08-d04-cam-002, 8, 4, 528.197, 530.476, 15528, 15595, open closeV, hand,,,,drawer,,drawer,,open closeVhanddrawer
159, 3, s08-d04-cam-002, 8, 4, 530.476, 540.17, 15595, 15880, take outV, hand,,cutting-board,,drawer,,drawer,counter,take outVhandcutting boarddrawercounter
160, 3, s08-d04-cam-002, 8, 4, 547.721, 549.523, 16102, 16155, closeV, hand,,,,drawer,,drawer,,closeVhanddrawer
161, 3, s08-d04-cam-002, 8, 4, 552.066, 555.986, 16230, 16345, cut off endsV, knife,,onion,,cutting-board,,cutting-board,,cut off endsVknifeonioncutting board
162, 3, s08-d04-cam-002, 8, 4, 556.28, 560.136, 16354, 16467, peelV, hand,,onion,,,,,,peelVhandonion
163, 3, s08-d04-cam-002, 8, 4, 560.374, 568.129, 16474, 16702, peelV, knife,,onion,,,,,,peelVknifeonion
164, 3, s08-d04-cam-002, 8, 4, 568.423, 571.326, 16711, 16796, cut apartV, knife,,onion,,cutting-board,,cutting-board,,cut apartVknifeonioncutting board
165, 3, s08-d04-cam-002, 8, 4, 572.006, 588.498, 16816, 17301, peelV, hand,,onion,half ,,,,,peelVhandonion
166, 3, s08-d04-cam-002, 8, 4, 589.693, 594.965, 17336, 17491, peelV, hand,,onion,half ,,,,,peelVhandonion
167, 3, s08-d04-cam-002, 8, 4, 595.918, 606.734, 17519, 17837, peelV, hand,,onion,half ,,,,,peelVhandonion
168, 3, s08-d04-cam-002, 8, 4, 610.51, 632.346, 17948, 18590, sliceV, knife,,onion,half peeled ,cutting-board,,cutting-board,,sliceVknifeonioncutting board
169, 3, s08-d04-cam-002, 8, 4, 632.346, 650.884, 18590, 19135, cut diceV, knife,,onion,peeled sliced ,cutting-board,,cutting-board,,cut diceVknifeonioncutting board
170, 3, s08-d04-cam-002, 8, 4, 653.299, 668.877, 19206, 19664, sliceV, knife,,onion,half peeled ,cutting-board,,cutting-board,,sliceVknifeonioncutting board
171, 3, s08-d04-cam-002, 8, 4, 668.877, 681.462, 19664, 20034, cut diceV, knife,,onion,peeled sliced ,cutting-board,,cutting-board,,cut diceVknifeonioncutting board
172, 3, s08-d04-cam-002, 8, 4, 686.972, 689.251, 20196, 20263, throw in garbageV, hand,,peel,onion ,,,,,throw in garbageVhandpeel
173, 3, s08-d04-cam-002, 8, 4, 690.204, 695.272, 20291, 20440, washV, hand,,hand,,,,,,washVhandhand
174, 3, s08-d04-cam-002, 8, 4, 695.272, 696.224, 20440, 20468, shakeV, hand,,hand,,,,,,shakeVhandhand
175, 3, s08-d04-cam-002, 8, 4, 696.224, 698.707, 20468, 20541, dryV, towel,,hand,,,,,,dryVtowelhand
176, 3, s08-d04-cam-002, 8, 4, 702.497, 704.523, 20653, 20712, take outV, hand,,frying-pan,,drawer,,drawer,stove,take outVhandfrying pandrawerstove
177, 3, s08-d04-cam-002, 8, 4, 706.564, 712.448, 20772, 20945, take outV, hand,,bottle,oil ,cupboard,,cupboard,,take outVhandbottlecupboard
178, 3, s08-d04-cam-002, 8, 4, 712.963, 714.425, 20961, 21004, screw openV, hand,,bottle,oil ,,,,,screw openVhandbottle
179, 3, s08-d04-cam-002, 8, 4, 714.72, 721.506, 21012, 21212, pourV, bottle,oil ,oil,,frying-pan,,frying-pan,,pourVbottleoilfrying pan
